asset_id,type,character_or_episode,shot,path_or_url,status,source,rights_notes,notes
conversation-001,source,project,,https://chatgpt.com/c/6a88b891-3580-83e8-8894-a225c1a2b7d4,reference,ChatGPT conversation,owner-provided conversation,角色定稿与EP01逐镜生成记录
zhixia-final,character,栀夏,,assets/characters/zhixia-final.png,not_downloaded,ChatGPT generated image,original AI-assisted asset,需从对话下载最终高马尾版本
ayan-final,character,阿砚,,assets/characters/ayan-final.png,not_downloaded,ChatGPT generated image,original AI-assisted asset,需从对话下载最终宣纸白墨灵版本
ep01-01a,keyframe,EP01,01A,assets/generated-images/ep01-01a-final.png,not_downloaded,ChatGPT generated image,original AI-assisted asset,对话中已接受为视觉基准
zhixia-voice-test-01,voice,栀夏,,assets/voices/zhixia/zhixia-tianmei-jiaoqiao-2.0-test-01.mp3,available,豆包语音合成2.0,user-generated via activated account,固定候选音色：甜美娇俏2.0；24kHz单声道；时长2.256秒
ayan-voice-test-01,voice,阿砚,,assets/voices/ayan/ayan-jiaxiaozhi-2.0-test-01.mp3,available,豆包语音合成2.0,user-generated via activated account,固定候选音色：假小子2.0；24kHz单声道；时长4.032秒
ep01-teaser-v01,video,EP01,teaser,exports/zhixia-15s-teaser-v01.mp4,draft,local FFmpeg,original project assets,15秒1080×1920初剪；7张关键帧轻推拉；含两段音色样片；暂未加字幕与音乐
ep01-flower-voice-01,voice,阿砚,opening,assets/audio/ep01-flower/01-ayan-opening.mp3,available,豆包语音合成2.0,user-generated via activated account,假小子2.0；今日飞花令花；24kHz单声道；2.688秒
ep01-flower-voice-02,voice,栀夏,poem-01,assets/audio/ep01-flower/02-zhixia-poem-01.mp3,available,豆包语音合成2.0,user-generated via activated account,甜美娇俏2.0；夜来风雨声花落知多少；24kHz单声道；3.072秒
ep01-flower-voice-03,voice,阿砚,poem-02,assets/audio/ep01-flower/03-ayan-poem-02.mp3,available,豆包语音合成2.0,user-generated via activated account,假小子2.0；人闲桂花落夜静春山空；24kHz单声道；3.864秒
ep01-flower-voice-04,voice,栀夏,poem-03,assets/audio/ep01-flower/04-zhixia-poem-03.mp3,available,豆包语音合成2.0,user-generated via activated account,甜美娇俏2.0；桃花潭水深千尺不及汪伦送我情；24kHz单声道；5.232秒
ep01-flower-voice-05,voice,阿砚,outro,assets/audio/ep01-flower/05-ayan-outro.mp3,available,豆包语音合成2.0,user-generated via activated account,假小子2.0；第四句你来接；24kHz单声道；2.256秒
ep01-flower-opening-raw,video,EP01,opening,assets/generated-video/ep01-flower/opening-raw.mp4,available,Seedance 2.0,user-generated via activated account,720×1280；24fps；5.042秒；无声；固定片头候选
ep01-flower-content-raw,video,EP01,content,assets/generated-video/ep01-flower/content-raw.mp4,available,Seedance 2.0,user-generated via activated account,720×1280；24fps；15.042秒；无声；含雨后落花月下空山桃花潭三段诗境
ep01-flower-outro-raw,video,EP01,outro,assets/generated-video/ep01-flower/outro-raw.mp4,available,Seedance 2.0,user-generated via activated account,720×1280；24fps；5.042秒；无声；固定片尾候选
ep01-flower-voiced-v01,video,EP01,assembly,exports/ep01-flower-voiced-v01.mp4,draft,local FFmpeg,original project assets,20.208秒；片头正片片尾淡化转场；已加入5段TTS并统一响度；无字幕无音乐
ep01-flower-subtitled-v01,video,EP01,assembly,exports/ep01-flower-subtitled-v01.mp4,draft,local FFmpeg,original project assets,20.208秒；720×1280；左上角双列竖排行楷字幕；纯白字与亮朱红花字；无底色；含5段TTS；无背景音乐
